id,name,party,partyLabel,votes,election,electionLabel,ranking
Q24052777,Declan Kearney,Q76382,Sinn Féin,7065,Q28231972,2017 Assembly election,1
Q24052789,Stephen Aiken,Q841045,Ulster Unionist Party,8808,Q28231972,2017 Assembly election,2
Q5233732,David Ford,Q244927,Alliance Party of Northern Ireland,9861.56,Q28231972,2017 Assembly election,3
Q7150909,Paul Girvan,Q215519,Democratic Unionist Party,5969.64,Q28231972,2017 Assembly election,4
Q7128949,Pam Cameron,Q215519,Democratic Unionist Party,5678.92,Q28231972,2017 Assembly election,5
Q7839094,Trevor Clarke,Q215519,Democratic Unionist Party,5527.40,Q28231972,2017 Assembly election,6
,Roisin Lynch,Q175443,Social Democratic and Labour Party,4595.52,Q28231972,2017 Assembly election,7
Q20312324,Adrian Cochrane-Watson,Q841045,Ulster Unionist Party,2583,Q28231972,2017 Assembly election,8
,Richard Cairns,Q985076,Traditional Unionist Voice,1409,Q28231972,2017 Assembly election,9
,Ivanka Antova,Q3545406,People Before Profit Alliance,658,Q28231972,2017 Assembly election,10
,David McMaster,Q327591,Independent politician,563,Q28231972,2017 Assembly election,11
,Eleanor Bailey,Q1096979,Green Party in Northern Ireland,504,Q28231972,2017 Assembly election,12
,Mark Logan,Q7058484,Northern Ireland Conservatives,194,Q28231972,2017 Assembly election,13
Q7150909,Paul Girvan,Q215519,Democratic Unionist Party,5036,Q16973450,2016 Assembly election,1
Q7128949,Pam Cameron,Q215519,Democratic Unionist Party,5067,Q16973450,2016 Assembly election,2
Q24052777,Declan Kearney,Q76382,Sinn Féin,6207,Q16973450,2016 Assembly election,3
Q5233732,David Ford,Q244927,Alliance Party of Northern Ireland,5056,Q16973450,2016 Assembly election,4
Q24052789,Stephen Aiken,Q841045,Ulster Unionist Party,4512,Q16973450,2016 Assembly election,5
Q7839094,Trevor Clarke,Q215519,Democratic Unionist Party,4338,Q16973450,2016 Assembly election,6
,Paul Michael,Q841045,Ulster Unionist Party,4127,Q16973450,2016 Assembly election,7
,Roisin Lynch,Q175443,Social Democratic and Labour Party,3547,Q16973450,2016 Assembly election,8
Q20312324,Adrian Cochrane-Watson,Q841045,Ulster Unionist Party,2200,Q16973450,2016 Assembly election,9
,Richard Cairns,Q985076,Traditional Unionist Voice,1505,Q16973450,2016 Assembly election,10
